mode,spatial,singular,m_c,m_h,T_c,T_h,vel_ratio
16,0.02483228988411602,32.61835640488698,538.8279,3.72136,34.95,88.13,144.79327450179505
17,0.009428348528531645,31.46488076911272,538.8279,3.72136,34.95,88.13,144.79327450179505
18,0.01480012876475296,30.834384930492714,538.8279,3.72136,34.95,88.13,144.79327450179505
19,0.01564442289923002,28.00161684502537,538.8279,3.72136,34.95,88.13,144.79327450179505
0,0.01897182498356123,115.81914777906809,538.8279,3.72136,34.95,88.13,144.79327450179505
1,0.024656266045518127,98.23495576189791,538.8279,3.72136,34.95,88.13,144.79327450179505
2,0.019031226784026658,94.15813785883505,538.8279,3.72136,34.95,88.13,144.79327450179505
3,0.029646407038671038,85.88682557260027,538.8279,3.72136,34.95,88.13,144.79327450179505
4,0.014928930913285425,71.88331875935755,538.8279,3.72136,34.95,88.13,144.79327450179505
5,0.007640660686160169,68.1959900601232,538.8279,3.72136,34.95,88.13,144.79327450179505
6,0.015131134126722918,60.824645487354445,538.8279,3.72136,34.95,88.13,144.79327450179505
7,0.009346470830117666,60.44765177359051,538.8279,3.72136,34.95,88.13,144.79327450179505
8,0.008367473279380411,51.69931897119121,538.8279,3.72136,34.95,88.13,144.79327450179505
9,0.01619846935701087,50.10992215579909,538.8279,3.72136,34.95,88.13,144.79327450179505
10,0.013434368283413501,47.6196927277802,538.8279,3.72136,34.95,88.13,144.79327450179505
11,0.015062353271254193,43.75937479317462,538.8279,3.72136,34.95,88.13,144.79327450179505
12,0.018366218901530985,41.45133848449951,538.8279,3.72136,34.95,88.13,144.79327450179505
13,0.0048822620865052796,40.7539153015753,538.8279,3.72136,34.95,88.13,144.79327450179505
14,0.004369400639026461,38.029308612829226,538.8279,3.72136,34.95,88.13,144.79327450179505
15,0.018826791571136054,33.434145074021096,538.8279,3.72136,34.95,88.13,144.79327450179505
16,0.006456800868742349,32.61835640488698,538.8279,3.72136,34.95,88.13,144.79327450179505
17,0.010774442441364707,31.46488076911272,538.8279,3.72136,34.95,88.13,144.79327450179505
18,0.01077248999361087,30.834384930492714,538.8279,3.72136,34.95,88.13,144.79327450179505
19,0.01897570207705898,28.00161684502537,538.8279,3.72136,34.95,88.13,144.79327450179505
0,0.033613071795109126,150.12468915535007,416.75101,5.65026,36.41,95.04,73.75784654157508
1,0.0677004596502019,125.67223983563689,416.75101,5.65026,36.41,95.04,73.75784654157508
2,0.0698339732407667,112.96071487207308,416.75101,5.65026,36.41,95.04,73.75784654157508
3,0.01292027272839028,92.0631043479458,416.75101,5.65026,36.41,95.04,73.75784654157508
4,0.04053255258569878,85.74305979314394,416.75101,5.65026,36.41,95.04,73.75784654157508
5,0.02854632348434242,83.41593988063983,416.75101,5.65026,36.41,95.04,73.75784654157508
6,0.06855164881980835,73.18285429155296,416.75101,5.65026,36.41,95.04,73.75784654157508
7,0.018216280560763472,65.78420923994778,416.75101,5.65026,36.41,95.04,73.75784654157508
8,0.021590063599407967,63.334271636842224,416.75101,5.65026,36.41,95.04,73.75784654157508
9,0.05187139659193212,55.17747089744885,416.75101,5.65026,36.41,95.04,73.75784654157508
10,0.04950429032772181,51.81436048153337,416.75101,5.65026,36.41,95.04,73.75784654157508
11,0.09072564048745077,49.24818309500681,416.75101,5.65026,36.41,95.04,73.75784654157508
12,0.02309197306534859,45.81036040531534,416.75101,5.65026,36.41,95.04,73.75784654157508
13,0.033839385865665844,44.541447104732825,416.75101,5.65026,36.41,95.04,73.75784654157508
14,0.041264409946700456,43.06375713275902,416.75101,5.65026,36.41,95.04,73.75784654157508
15,0.03996393944288043,40.24530822645391,416.75101,5.65026,36.41,95.04,73.75784654157508
16,0.020814729777203975,39.98267397197368,416.75101,5.65026,36.41,95.04,73.75784654157508
17,0.06079084666104798,37.78367061174855,416.75101,5.65026,36.41,95.04,73.75784654157508
18,0.11245200338338018,35.711204294474776,416.75101,5.65026,36.41,95.04,73.75784654157508
19,0.06753440523720454,35.005384882448205,416.75101,5.65026,36.41,95.04,73.75784654157508
0,0.002250831511231426,150.12468915535007,416.75101,5.65026,36.41,95.04,73.75784654157508
1,0.0224471315825852,125.67223983563689,416.75101,5.65026,36.41,95.04,73.75784654157508
2,0.04337536413550762,112.96071487207308,416.75101,5.65026,36.41,95.04,73.75784654157508
3,0.030182059623779598,92.0631043479458,416.75101,5.65026,36.41,95.04,73.75784654157508
4,0.055645633905921546,85.74305979314394,416.75101,5.65026,36.41,95.04,73.75784654157508
5,0.013982181784380833,83.41593988063983,416.75101,5.65026,36.41,95.04,73.75784654157508
6,0.03155050309481945,73.18285429155296,416.75101,5.65026,36.41,95.04,73.75784654157508
7,0.01804672465350069,65.78420923994778,416.75101,5.65026,36.41,95.04,73.75784654157508
8,0.026956077527825868,63.334271636842224,416.75101,5.65026,36.41,95.04,73.75784654157508
9,0.017742662884717417,55.17747089744885,416.75101,5.65026,36.41,95.04,73.75784654157508
10,0.024039872016403622,51.81436048153337,416.75101,5.65026,36.41,95.04,73.75784654157508
11,0.007862174196728154,49.24818309500681,416.75101,5.65026,36.41,95.04,73.75784654157508
12,0.047322775900961477,45.81036040531534,416.75101,5.65026,36.41,95.04,73.75784654157508
13,0.020195751648298958,44.541447104732825,416.75101,5.65026,36.41,95.04,73.75784654157508
14,0.03446113932498184,43.06375713275902,416.75101,5.65026,36.41,95.04,73.75784654157508
15,0.04650409087346417,40.24530822645391,416.75101,5.65026,36.41,95.04,73.75784654157508
16,0.02919540244945142,39.98267397197368,416.75101,5.65026,36.41,95.04,73.75784654157508
17,0.05881168502288838,37.78367061174855,416.75101,5.65026,36.41,95.04,73.75784654157508
18,0.051294824364120646,35.711204294474776,416.75101,5.65026,36.41,95.04,73.75784654157508
19,0.020734095974989517,35.005384882448205,416.75101,5.65026,36.41,95.04,73.75784654157508
0,0.015189664761170629,150.12468915535007,416.75101,5.65026,36.41,95.04,73.75784654157508
1,0.015476509703033665,125.67223983563689,416.75101,5.65026,36.41,95.04,73.75784654157508
2,0.02652256956314989,112.96071487207308,416.75101,5.65026,36.41,95.04,73.75784654157508
3,0.026957959008410748,92.0631043479458,416.75101,5.65026,36.41,95.04,73.75784654157508
4,0.02108650758909306,85.74305979314394,416.75101,5.65026,36.41,95.04,73.75784654157508
5,0.011565480598615426,83.41593988063983,416.75101,5.65026,36.41,95.04,73.75784654157508
6,0.018782201974491416,73.18285429155296,416.75101,5.65026,36.41,95.04,73.75784654157508
7,0.014002856118218776,65.78420923994778,416.75101,5.65026,36.41,95.04,73.75784654157508
8,0.02382918447245659,63.334271636842224,416.75101,5.65026,36.41,95.04,73.75784654157508
9,0.003959514452935332,55.17747089744885,416.75101,5.65026,36.41,95.04,73.75784654157508
10,0.010820678769896931,51.81436048153337,416.75101,5.65026,36.41,95.04,73.75784654157508
11,0.013032948909433548,49.24818309500681,416.75101,5.65026,36.41,95.04,73.75784654157508
12,0.021185497131649345,45.81036040531534,416.75101,5.65026,36.41,95.04,73.75784654157508
13,0.014836861291630176,44.541447104732825,416.75101,5.65026,36.41,95.04,73.75784654157508
14,0.020349931475564395,43.06375713275902,416.75101,5.65026,36.41,95.04,73.75784654157508
15,0.037776942488786144,40.24530822645391,416.75101,5.65026,36.41,95.04,73.75784654157508
16,0.01556480679094118,39.98267397197368,416.75101,5.65026,36.41,95.04,73.75784654157508
17,0.017629344926652447,37.78367061174855,416.75101,5.65026,36.41,95.04,73.75784654157508
18,0.033315553517388616,35.711204294474776,416.75101,5.65026,36.41,95.04,73.75784654157508
19,0.0073775006041108425,35.005384882448205,416.75101,5.65026,36.41,95.04,73.75784654157508
0,0.05245551712399801,150.12468915535007,416.75101,5.65026,36.41,95.04,73.75784654157508
1,0.0095387636611546,125.67223983563689,416.75101,5.65026,36.41,95.04,73.75784654157508
2,0.02880492331022079,112.96071487207308,416.75101,5.65026,36.41,95.04,73.75784654157508
3,0.015150635650509118,92.0631043479458,416.75101,5.65026,36.41,95.04,73.75784654157508
4,0.022324948525905868,85.74305979314394,416.75101,5.65026,36.41,95.04,73.75784654157508
5,0.0063059665051894845,83.41593988063983,416.75101,5.65026,36.41,95.04,73.75784654157508
6,0.012695007294313835,73.18285429155296,416.75101,5.65026,36.41,95.04,73.75784654157508
